a	a
jette            jet
jettent          jettent
jetterais        jet
jetterait        jet
jetterez         jet
jeu              jeu
jeudi            jeud
jeudis           jeud
jeun             jeun
jeûnant          jeûn
jeune            jeun
jeûne            jeûn
jeunes           jeun
jeûnes           jeûn
jeunesse         jeuness
jeux             jeux
joe              jo
john             john
joie             joi
joies            joi
joignait         joign
joignant         joign
joignit          joign
joindre          joindr
joint            joint
jointe           joint
jointes          joint
joli             jol
jolie            jol
jolies           jol
joliment         jol
jolis            jol
jonc             jonc
jonché           jonch
jonglaient         jongl
jonglait         jongl
jonglerie        jongler
jongleurs        jongleur
jonques          jonqu
jonquille        jonquill
joseph           joseph
joua             jou
jouaient         jou
jouait           jou
jouant           jou
jouât            jou
joue             jou
joué             jou
jouée            jou
jouer            jou
jouera           jou
jouerai          jou
joueraient         jou
jouerais         jou
jouerait         jou
joues            jou
joueur           joueur
joueurs          joueur
jouez            jou
joui             jou
jouir            jou
jouira           jou
jouirait         jou
jouiras          jou
jouis            jou
jouissaient        jou
jouissait        jou
jouissance         jouiss
jouissances        jouiss
jouissant        jou
jouisse          jou
jouissent        jou
jouissons        jou
jouit            jou
joujoux          joujoux
joumate          joumat
jouons           jouon
jour             jour
jourdain         jourdain
jourdan          jourdan
journal          journal
journalière        journali
journalistes         journal
journaux         journal
journée          journ
journées         journ
journellement        journel
jours            jour
joyeuse          joyeux
joyeusement        joyeux
joyeux           joyeux
juan             juan
